2022-09-30,02eaef26-8f11-4cdd-a3c9-ddb0a751dae8,Ice cream,30.0
2022-10-03,8fb15d56-a51d-4361-bd71-6b79c12d95ea,Milk,21.2
2022-11-03,3ac54315-c55b-45cf-a76d-a57eb2bc785d,Shampoo,55.0
2022-11-05,8960e223-0356-47f1-9cb4-e40ff813a167,Ice cream,30.0
2022-10-04,c325edaa-eae0-4cde-b027-44b13ec76d9a,Ice cream,30.0
2022-09-12,0cdf33e4-c4f5-4e5c-8f32-4aa81b1c04af,Ice cream,30.0
2022-09-02,9c9d8676-2865-413e-aaf1-27d33461dbb2,Ice cream,30.0
2022-09-15,b3eec806-074f-42cf-b252-aaf2bd234e8b,Fruits,15.5
2022-10-17,c8091040-6593-468d-99d2-62c0ae0e00d4,Chips,6.3
2022-11-11,5eaa0111-8fcf-4241-8d33-ccbd545fb0ff,Ice cream,30.0
2022-09-25,de7ad07d-ea79-4f4a-b051-e4fc69841613,Fruits,15.5
2022-10-21,dcc92911-6a7a-4e64-842d-2040d3b4dcc7,Ice cream,30.0
2022-11-06,4a568a7d-c7ea-4cf3-90cd-ecaa695318ef,Fruits,15.5
2022-11-05,964150a0-479c-492f-8421-dcfb20b36d98,Milk,21.2
2022-09-09,e0ac9bf3-5fb6-4338-93a9-669d79054d33,Ice cream,30.0
2022-11-10,c5700e74-a045-4abe-ae80-8f4e8b765349,Ice cream,30.0
2022-10-16,d4c41dcd-21cb-4321-97aa-61b036355dc2,Shampoo,55.0
2022-11-07,2fdf65dd-8271-4d09-b4d0-4e0d40757eaa,Chips,6.3
2022-11-05,4cbe79c4-7f22-40c9-9cc4-d831a9e03a12,Ice cream,30.0
2022-10-07,2a897c1e-c398-4b19-9c4d-83b0f5c1ca6e,Fruits,15.5
2022-09-25,d0383472-33d1-44eb-a39f-4cc12d4c32d5,Ice cream,30.0
2022-10-22,735e167a-f836-451a-a713-3b3bec418c18,Fruits,15.5
2022-10-27,924dedde-964b-4094-b6ce-7a28b76261c1,Chips,6.3
2022-11-09,b195ec54-a905-42fb-90d6-e5253a573f41,Fruits,15.5
2022-10-01,2635ad05-cca3-4b09-a9d8-fa8db904d7bb,Shampoo,55.0
2022-10-05,3ab5e174-55a3-49c9-9c10-c44fa383fd85,Ice cream,30.0
2022-10-21,3517580d-194e-4680-9926-89488d9f4a10,Fruits,15.5
2022-09-16,f87574d0-273e-44fe-bb34-63482588e614,Chips,6.3
2022-09-15,156410ab-82ab-47cc-a0f5-a46915831809,Fruits,15.5
2022-10-11,aeb7d8c7-2e8a-443c-95cd-06f1f2209734,Chips,6.3
2022-10-19,4663c69e-dcc6-42a8-bec4-d8950dcca4c3,Milk,21.2
2022-09-25,b9bb317e-471a-4c31-9e58-0ffd437902f5,Fruits,15.5
2022-11-17,2749078c-f3b2-4b18-a05f-6529a24a9a1a,Ice cream,30.0
2022-09-19,5eaa0111-8fcf-4241-8d33-ccbd545fb0ff,Ice cream,30.0
2022-09-22,3517580d-194e-4680-9926-89488d9f4a10,Shampoo,55.0
2022-09-02,e2c66a45-3de1-4514-b9ff-c196daa0a8c3,Shampoo,55.0
2022-09-24,a19d1858-0a96-4e38-bd5f-9dd728b3cb49,Fruits,15.5
2022-09-02,a6c5f769-8c22-431f-ab10-65e6070078b5,Shampoo,55.0
2022-11-14,f86bd23e-b360-4da6-8fe2-0199c6552533,Chips,6.3
2022-09-24,61281e66-e7c3-45f5-a733-39d0f92e18a7,Milk,21.2
2022-11-26,b31bdcac-1c42-4360-a190-5c63c9eeb6e1,Shampoo,55.0
2022-10-17,d4958cc9-c646-43ef-abe4-a8c9e87d2f50,Shampoo,55.0
2022-10-31,7fd14981-8470-4f75-bd28-052943218bf0,Ice cream,30.0
2022-11-02,98860d97-db65-4135-aff3-d4e4090e8df3,Milk,21.2
